date,year,monthly_wet_bulb_temperature,temp_mean_daily_min,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,mean_relative_humidity,mean_sea_level_RLR
1984-08-01,1984,25.241935483870968,24.3,22.5,13.0,102.7,6.0,84.1,6996.0
1984-09-01,1984,24.65791666666667,23.7,46.5,17.0,186.7,4.9,83.9,7026.0
1984-10-01,1984,25.00712365591398,24.3,47.2,11.0,187.5,5.3,82.5,7106.0
1984-11-01,1984,24.650138888888886,24.0,35.4,17.0,127.7,4.3,86.3,7176.0
1984-12-01,1984,24.245833333333334,23.6,58.4,22.0,277.4,3.3,86.7,7166.0
1985-01-01,1985,24.091129032258063,23.6,35.5,7.0,111.1,8.7,81.5,7086.0
1985-02-01,1985,24.892857142857142,24.1,18.7,11.0,79.3,6.5,84.0,7106.0
1985-03-01,1985,24.92822580645161,24.2,23.8,13.0,88.0,5.6,83.9,7106.0
1985-04-01,1985,25.28291666666667,24.4,29.3,14.0,110.5,5.5,83.8,6996.0
1985-05-01,1985,25.736962365591395,25.2,36.2,12.0,70.1,5.7,83.4,7026.0
1985-06-01,1985,25.32333333333333,25.1,9.9,14.0,37.0,5.8,79.4,7036.0
1985-07-01,1985,24.738575268817204,23.9,32.2,17.0,131.8,5.3,83.1,7016.0
1985-08-01,1985,25.07983870967742,25.1,21.4,11.0,56.9,6.2,80.4,6936.0
1985-09-01,1985,24.693055555555556,24.0,22.0,18.0,110.7,5.0,83.1,7006.0
1985-10-01,1985,24.6747311827957,23.9,30.2,21.0,169.0,4.1,84.7,7076.0
1985-11-01,1985,24.571805555555557,23.8,38.2,21.0,179.4,4.1,85.0,7096.0
1985-12-01,1985,24.273118279569893,23.7,86.8,22.0,340.1,4.6,86.2,7126.0
1986-01-01,1986,23.615591397849464,23.4,95.6,13.0,308.2,3.9,83.9,7115.0
1986-02-01,1986,23.99955357142857,23.9,23.0,2.0,26.7,7.2,78.4,6995.0
1986-03-01,1986,24.6747311827957,24.1,71.1,17.0,353.4,4.6,86.6,7035.0
1986-04-01,1986,25.42013888888889,24.7,56.4,14.0,150.0,6.2,85.3,7015.0
1986-05-01,1986,25.686155913978496,25.4,51.3,13.0,145.1,6.1,81.8,7015.0
1986-06-01,1986,25.542222222222225,25.3,34.5,13.0,122.9,6.8,82.5,7035.0
1986-07-01,1986,25.11209677419355,25.0,23.5,12.0,109.7,6.2,79.9,7045.0
1986-08-01,1986,25.126478494623655,25.2,28.4,11.0,72.9,5.6,77.3,7025.0
1986-09-01,1986,24.64486111111111,23.6,97.6,22.0,396.0,4.8,84.4,7015.0
1987-01-01,1987,23.70255376344086,23.4,127.4,16.0,568.6,4.0,86.0,7115.0
1987-02-01,1987,23.781994047619047,23.7,34.8,7.0,86.9,9.2,79.0,7035.0
1987-03-01,1987,25.19475806451613,24.8,40.9,12.0,132.5,6.9,83.2,6985.0
1987-04-01,1987,25.573194444444447,25.1,27.7,10.0,72.5,6.2,82.8,6985.0
1987-05-01,1987,25.55766129032258,25.0,81.4,16.0,270.0,5.6,84.6,7015.0
1987-06-01,1987,26.001527777777774,26.0,30.7,15.0,126.6,6.8,80.7,6995.0
1987-07-01,1987,25.540188172043013,25.4,21.6,11.0,80.9,6.7,81.3,6995.0
1987-08-01,1987,25.20483870967742,25.0,48.2,16.0,191.9,5.1,83.6,6985.0
1987-09-01,1987,25.21027777777778,24.6,44.5,11.0,129.9,5.4,82.5,6975.0
1987-10-01,1987,25.403897849462364,25.2,5.9,9.0,22.6,5.8,82.1,7055.0
1987-11-01,1987,25.099861111111114,24.3,77.7,17.0,347.6,4.5,84.0,7155.0
1987-12-01,1987,24.40981182795699,24.2,24.3,11.0,72.8,4.8,84.6,7275.0
1988-01-01,1988,24.706989247311828,24.5,69.0,15.0,237.5,5.9,84.3,7125.0
1988-02-01,1988,24.87528735632184,24.6,46.7,9.0,158.1,6.7,83.2,7065.0
1988-03-01,1988,25.28682795698925,24.8,70.1,15.0,186.8,5.2,85.3,7055.0
1988-04-01,1988,25.7025,25.2,22.8,13.0,109.6,5.4,84.5,7045.0
1988-05-01,1988,26.008467741935483,25.8,76.7,14.0,229.6,5.6,82.7,7025.0
1988-06-01,1988,25.459305555555556,24.9,69.4,13.0,252.2,6.5,81.6,7035.0
1988-07-01,1988,25.204435483870967,24.6,75.6,15.0,305.4,6.0,84.0,7005.0
1988-08-01,1988,25.002150537634407,24.5,19.0,14.0,80.1,4.9,84.9,7015.0
1988-09-01,1988,25.004722222222224,24.5,187.3,14.0,440.4,4.8,84.5,7045.0
1988-10-01,1988,25.170295698924733,24.5,39.8,17.0,134.6,4.1,83.2,7155.0
1988-11-01,1988,24.58527777777778,23.7,111.9,23.0,401.4,3.7,86.8,7265.0
1988-12-01,1988,23.718413978494624,23.9,22.0,11.0,62.9,5.7,81.1,7205.0
1989-01-01,1989,24.39704301075269,23.9,53.0,10.0,189.7,5.8,84.1,7155.0
1989-02-01,1989,23.703869047619047,23.7,48.4,3.0,52.4,6.7,78.3,7075.0
1989-03-01,1989,24.72204301075269,23.9,63.5,21.0,305.9,4.5,87.6,7055.0
1989-04-01,1989,25.190555555555555,24.0,39.0,17.0,198.6,5.7,86.4,6995.0
1989-05-01,1989,25.4755376344086,24.5,38.2,12.0,194.0,5.2,86.6,7075.0
1989-06-01,1989,25.19611111111111,24.4,45.9,12.0,117.6,6.0,83.3,7065.0
1989-07-01,1989,25.386559139784943,24.9,33.3,12.0,157.6,6.0,82.6,7055.0
1989-08-01,1989,24.966397849462364,23.9,81.4,18.0,201.0,5.3,83.7,7035.0
1989-09-01,1989,24.846249999999998,24.1,102.2,14.0,247.3,5.5,84.4,7035.0
1989-10-01,1989,24.87983870967742,24.2,24.9,16.0,111.0,5.5,83.7,7125.0
1989-11-01,1989,24.7975,24.0,148.6,20.0,508.4,5.4,86.0,7205.0
1989-12-01,1989,24.37889784946237,23.9,44.2,18.0,179.7,4.8,85.5,7135.0
1990-01-01,1990,24.04731182795699,23.7,73.9,13.0,147.4,5.3,83.8,7105.0
1990-02-01,1990,24.96175595238095,24.9,6.6,8.0,24.1,8.9,80.9,7045.0
1990-03-01,1990,25.07956989247312,25.0,48.6,4.0,94.2,8.3,77.6,6965.0
1990-04-01,1990,25.885972222222225,25.3,12.0,10.0,52.4,6.3,81.2,7005.0
1990-05-01,1990,25.933064516129033,25.6,153.7,11.0,180.1,6.5,81.1,7045.0
1990-06-01,1990,25.693888888888885,25.4,76.1,9.0,112.6,6.3,80.7,7015.0
1990-07-01,1990,25.131048387096776,24.6,44.5,12.0,124.0,5.9,82.7,6965.0
1990-08-01,1990,25.5747311827957,25.1,38.3,13.0,146.6,5.8,82.3,7015.0
1990-09-01,1990,24.9775,24.2,44.5,17.0,204.5,5.1,83.2,7055.0
1990-10-01,1990,25.24516129032258,24.9,20.2,12.0,56.4,5.9,83.5,7095.0
1990-11-01,1990,24.983611111111113,24.7,46.9,17.0,180.4,4.6,83.5,7115.0
1990-12-01,1990,24.47231182795699,24.1,33.5,16.0,201.1,5.5,86.0,7105.0
1991-01-01,1991,24.58454301075269,24.2,36.2,13.0,123.9,5.6,84.1,7055.0
1991-02-01,1991,24.620386904761908,24.1,17.9,7.0,45.5,7.0,81.6,7035.0
1991-03-01,1991,25.046370967741936,24.7,48.6,10.0,92.4,7.1,79.9,6975.0
1991-04-01,1991,25.61513888888889,24.7,32.2,13.0,134.2,5.8,84.3,7025.0
1991-05-01,1991,25.91021505376344,25.0,44.0,23.0,256.4,5.1,86.6,7025.0
1991-06-01,1991,25.97041666666667,25.8,55.6,9.0,88.7,7.1,81.0,6975.0
1991-07-01,1991,25.533736559139783,25.7,10.7,8.0,37.3,6.7,78.7,6945.0
1991-08-01,1991,25.4,25.3,129.9,8.0,226.2,5.3,79.8,6955.0
1991-09-01,1991,25.269305555555558,24.7,53.6,12.0,123.1,4.1,83.0,7015.0
1991-10-01,1991,24.985483870967744,24.7,20.4,5.0,52.0,4.2,81.4,7095.0
1991-11-01,1991,24.49291666666667,23.6,75.2,19.0,205.0,3.5,86.5,7155.0
1991-12-01,1991,24.43938172043011,23.4,79.4,19.0,492.3,3.0,90.7,7145.0
1992-01-01,1992,24.29274193548387,23.8,56.2,9.0,83.9,6.6,82.4,7095.0
1992-02-01,1992,24.784913793103446,24.3,43.2,4.0,62.4,7.7,80.5,7005.0
1992-03-01,1992,25.50577956989247,25.0,35.1,6.0,67.6,7.4,80.6,6995.0
1992-04-01,1992,25.965,25.1,94.7,13.0,160.3,6.4,82.4,6995.0
1992-05-01,1992,25.8505376344086,25.1,13.7,13.0,63.1,5.7,83.3,7045.0
1992-06-01,1992,25.671666666666663,24.9,38.4,14.0,162.8,5.5,82.7,7045.0
1992-07-01,1992,25.1630376344086,24.2,97.3,19.0,290.8,4.7,83.8,7035.0
1992-08-01,1992,25.18978494623656,24.3,31.0,11.0,76.1,5.7,81.1,7025.0
1992-09-01,1992,25.035694444444445,24.5,17.5,13.0,83.6,5.0,82.9,7045.0
1992-10-01,1992,24.988306451612903,24.3,45.5,20.0,233.2,4.5,82.0,7155.0
1992-11-01,1992,24.479999999999997,23.7,120.6,18.0,474.3,3.7,87.7,7165.0
1992-12-01,1992,24.283467741935485,23.4,105.7,23.0,502.7,3.4,90.3,7135.0
1993-01-01,1993,24.335752688172043,23.8,37.2,11.0,176.4,5.5,85.7,7105.0
1993-02-01,1993,24.083035714285714,23.8,27.0,8.0,69.2,8.5,80.5,7005.0
1993-03-01,1993,24.861021505376343,24.0,56.9,14.0,250.5,5.4,86.3,6985.0
1993-04-01,1993,25.485416666666666,24.4,56.7,20.0,283.9,6.4,84.5,7005.0
1993-05-01,1993,25.850403225806453,25.4,37.2,10.0,129.9,6.0,82.9,7025.0
1993-06-01,1993,25.831666666666667,25.4,29.4,17.0,115.5,6.2,80.9,7035.0
1993-07-01,1993,25.60470430107527,25.2,46.4,15.0,240.0,5.2,83.2,7015.0
1993-08-01,1993,25.729032258064517,25.4,53.5,11.0,106.8,7.4,79.4,7015.0
1993-09-01,1993,25.335,24.9,42.0,7.0,61.7,5.9,81.4,7035.0
1993-10-01,1993,25.36599462365591,24.7,62.7,13.0,175.5,5.2,84.3,7105.0
1993-11-01,1993,25.185555555555553,24.2,61.3,18.0,250.8,4.7,87.4,7135.0
1993-12-01,1993,24.86532258064516,24.0,67.6,19.0,308.5,4.2,87.4,7225.0
1994-01-01,1994,24.526344086021503,24.1,17.5,7.0,56.9,6.1,82.1,7150.0
1994-02-01,1994,24.952976190476193,24.0,26.3,15.0,133.5,6.4,84.5,7022.0
1994-03-01,1994,25.100403225806453,24.2,64.2,19.0,288.2,3.5,87.1,7071.0
1994-04-01,1994,25.803333333333335,24.8,46.3,15.0,154.0,5.8,84.8,7018.0
1994-05-01,1994,26.023655913978494,25.1,45.1,16.0,169.6,5.0,84.8,6989.0
1994-06-01,1994,25.833194444444448,25.2,61.1,14.0,184.7,6.0,83.5,6963.0
1994-07-01,1994,25.547580645161293,25.7,17.0,6.0,53.8,7.6,78.9,6943.0
1994-08-01,1994,25.402419354838713,25.2,15.5,12.0,45.1,6.5,80.0,6963.0
1994-09-01,1994,25.410833333333333,25.5,11.3,6.0,23.7,3.8,78.7,6975.0
1994-10-01,1994,25.294758064516127,24.6,35.4,11.0,84.7,4.5,81.5,7065.0
1994-11-01,1994,25.15263888888889,24.0,178.3,21.0,322.2,4.5,88.4,7113.0
1994-12-01,1994,24.94327956989247,24.1,133.8,18.0,425.4,5.3,85.5,7093.0
1995-01-01,1995,24.95779569892473,24.1,108.3,21.0,349.4,5.0,86.2,7092.0
1995-02-01,1995,24.79925595238095,23.9,159.3,16.0,334.0,4.9,87.5,7123.0
1995-03-01,1995,25.396102150537637,24.6,31.1,10.0,67.7,5.9,83.9,7054.0
1995-04-01,1995,25.946805555555557,25.0,73.6,16.0,242.3,5.6,85.3,7066.0
1995-05-01,1995,26.279301075268815,25.6,32.8,11.0,84.4,6.0,83.7,7035.0
1995-06-01,1995,26.335694444444446,25.8,45.0,12.0,63.7,6.6,81.9,7038.0
1995-07-01,1995,25.65215053763441,25.2,52.3,13.0,173.6,5.2,82.6,7032.0
1995-08-01,1995,25.47271505376344,24.6,37.9,21.0,211.6,4.1,85.6,7036.0
1995-09-01,1995,25.764305555555556,25.1,5.7,7.0,29.5,5.8,81.6,7060.0
1995-10-01,1995,25.463575268817205,24.8,37.1,12.0,101.1,4.7,82.8,7127.0
1995-11-01,1995,25.218611111111112,24.1,198.6,20.0,372.8,3.7,86.8,7148.0
1995-12-01,1995,24.549059139784948,23.9,55.6,20.0,302.5,3.1,86.6,7234.0
1996-01-01,1996,24.08521505376344,23.4,39.0,10.0,173.2,5.2,84.2,7103.0
1996-02-01,1996,24.44942528735632,24.0,53.0,11.0,180.2,5.8,84.6,7158.0
1996-03-01,1996,25.12889784946237,24.5,61.8,8.0,129.7,7.7,81.0,7013.0
1996-04-01,1996,25.83888888888889,24.9,55.7,15.0,178.2,5.4,85.5,7060.0
1996-05-01,1996,26.278494623655916,25.2,18.6,15.0,107.5,7.0,83.7,7065.0
1996-06-01,1996,26.14916666666667,25.3,94.3,15.0,265.8,5.9,84.3,7013.0
1996-07-01,1996,25.853763440860217,25.4,55.3,10.0,162.3,6.7,81.9,7027.0
1996-08-01,1996,25.179032258064517,24.3,64.6,18.0,258.4,5.0,83.4,7035.0
1996-09-01,1996,25.317222222222224,24.6,66.5,18.0,297.0,4.8,82.2,7062.0
1996-10-01,1996,25.179973118279573,24.4,45.8,19.0,300.0,4.3,83.0,7169.0
1996-11-01,1996,25.067777777777778,24.6,60.5,16.0,180.2,4.4,83.5,7145.0
1996-12-01,1996,24.34032258064516,23.9,72.4,15.0,185.5,4.5,82.9,7149.0
1997-01-01,1997,23.996774193548386,24.0,13.9,3.0,15.4,7.7,77.3,7133.0
1997-02-01,1997,24.758482142857144,24.5,35.7,8.0,105.4,4.9,80.8,7115.0
1997-03-01,1997,25.227688172043013,24.9,17.4,10.0,34.3,7.0,79.6,7051.0
1997-04-01,1997,25.68263888888889,25.0,44.6,12.0,118.4,5.6,82.7,6980.0
1997-05-01,1997,26.157526881720432,26.3,35.6,6.0,41.6,6.7,77.7,7035.0
1997-06-01,1997,25.96847222222222,26.0,25.0,12.0,78.9,7.3,76.7,7023.0
1997-07-01,1997,25.524327956989247,26.0,5.4,9.0,18.6,6.5,76.5,6963.0
1997-08-01,1997,25.7252688172043,25.9,61.4,9.0,86.6,5.7,78.2,6955.0
1997-09-01,1997,25.580277777777777,26.3,24.3,3.0,31.1,3.2,77.0,7015.0
1997-10-01,1997,25.561693548387098,25.1,36.5,8.0,78.4,3.2,81.0,6999.0
1997-11-01,1997,25.43972222222222,24.8,53.6,13.0,158.3,5.4,82.8,7020.0
1997-12-01,1997,25.358467741935485,24.6,65.8,23.0,351.9,5.3,85.3,7053.0
1998-01-01,1998,25.736424731182797,25.3,79.7,13.0,268.8,7.4,83.2,7067.0
1998-02-01,1998,25.87827380952381,25.9,11.9,5.0,32.5,8.9,78.3,7020.0
1998-03-01,1998,26.263440860215052,26.3,20.9,7.0,58.8,7.6,77.8,7041.0
1998-04-01,1998,26.697222222222223,26.3,64.9,13.0,187.7,6.7,81.8,7007.0
1998-05-01,1998,26.913978494623656,26.3,83.7,18.0,370.8,5.9,82.3,7022.0
1998-06-01,1998,26.106944444444444,25.4,42.8,15.0,198.8,5.3,82.1,7076.0
1998-07-01,1998,25.640860215053763,24.9,55.8,18.0,259.2,5.1,81.8,7027.0
1998-08-01,1998,25.504435483870967,24.7,35.5,18.0,195.0,4.6,85.4,7045.0
1998-09-01,1998,25.755277777777778,24.9,52.0,17.0,258.2,4.5,84.1,7074.0
1998-10-01,1998,25.591397849462364,24.6,32.4,20.0,222.7,5.0,82.3,7163.0
1998-11-01,1998,25.448749999999997,24.9,57.5,11.0,107.2,4.6,81.9,7193.0
1998-12-01,1998,25.08508064516129,24.2,84.4,22.0,463.4,3.1,88.5,7254.0
1999-01-01,1999,25.05483870967742,24.3,52.5,19.0,193.9,3.9,88.3,7219.0
1999-02-01,1999,24.86636904761905,24.5,32.1,9.0,67.4,6.7,82.4,7154.0
1999-03-01,1999,25.45228494623656,24.4,52.4,16.0,181.4,4.3,87.5,7079.0
1999-04-01,1999,25.886805555555554,25.4,29.2,14.0,88.5,5.8,82.6,7115.0
1999-05-01,1999,25.910618279569892,25.3,42.8,13.0,157.1,5.7,84.4,7092.0
1999-06-01,1999,25.735972222222223,25.3,34.5,13.0,103.4,6.0,81.9,7028.0
1999-07-01,1999,25.40255376344086,24.7,51.4,11.0,225.4,6.8,82.7,7000.0
1999-08-01,1999,25.37244623655914,24.5,42.4,13.0,204.0,5.7,84.1,7047.0
1999-09-01,1999,25.40402777777778,24.9,41.5,13.0,125.9,6.5,81.7,7073.0
1999-10-01,1999,25.106182795698924,24.3,32.8,20.0,205.0,4.7,84.6,7175.0
1999-11-01,1999,25.14402777777778,24.5,39.0,19.0,241.5,4.7,84.4,7201.0
1999-12-01,1999,24.823924731182796,24.1,76.9,17.0,340.5,4.1,85.3,7318.0
2000-01-01,2000,24.6377688172043,23.9,127.6,14.0,275.2,4.0,86.9,7182.0
2000-02-01,2000,24.785344827586204,23.8,39.9,18.0,237.8,5.8,86.5,7168.0
2000-03-01,2000,25.315188172043012,24.3,37.9,15.0,238.3,5.8,85.8,7141.0
2000-04-01,2000,25.554305555555555,24.6,87.4,20.0,311.6,5.3,85.6,7075.0
2000-05-01,2000,26.170698924731184,25.7,36.7,10.0,96.8,6.8,82.4,7079.0
2000-06-01,2000,25.51236111111111,24.7,41.7,16.0,157.5,4.6,84.3,7051.0
2000-07-01,2000,25.746370967741935,25.3,34.6,12.0,116.1,6.5,82.6,7074.0
2000-08-01,2000,25.354569892473116,24.8,28.1,18.0,113.5,5.1,83.8,7049.0
2000-09-01,2000,25.6075,25.2,25.7,12.0,81.1,6.2,82.2,7093.0
2000-10-01,2000,25.331989247311828,24.9,38.3,14.0,120.9,4.0,82.1,7154.0
2000-11-01,2000,25.583194444444448,24.7,72.0,21.0,385.7,3.7,87.1,7229.0
2000-12-01,2000,25.335887096774197,24.4,45.8,18.0,236.0,4.2,87.6,7225.0
2001-01-01,2001,24.856854838709676,24.0,125.4,21.0,425.8,4.4,87.4,7192.0
2001-02-01,2001,24.788095238095234,24.5,28.2,11.0,86.6,4.8,83.6,7168.0
2001-03-01,2001,25.350806451612904,24.2,41.1,20.0,297.3,5.4,84.5,7093.0
2001-04-01,2001,25.86472222222222,25.1,68.9,18.0,203.3,5.3,86.0,7066.0
2001-05-01,2001,26.47056451612903,25.7,56.1,12.0,164.9,6.0,85.0,7069.0
2001-09-01,2001,25.575833333333332,25.2,74.3,13.0,162.0,6.2,82.3,7094.0
2001-10-01,2001,25.423387096774192,24.7,77.2,20.0,252.2,4.4,83.7,7166.0
2001-11-01,2001,25.157083333333333,24.7,102.6,15.0,175.3,3.7,84.9,7221.0
2001-12-01,2001,24.94233870967742,24.1,211.1,20.0,609.0,4.5,86.8,7223.0
2002-01-01,2002,24.83279569892473,24.5,83.8,11.0,221.2,6.9,83.6,7103.0
2002-02-01,2002,24.705357142857142,24.5,41.7,2.0,50.8,7.4,80.9,7091.0
2002-03-01,2002,25.528494623655916,25.1,26.4,8.0,55.6,7.6,80.8,7046.0
2002-04-01,2002,26.13722222222222,25.6,39.4,13.0,116.5,6.6,82.3,7043.0
2002-05-01,2002,26.417473118279567,26.1,75.9,13.0,236.6,6.2,82.3,7072.0
2002-06-01,2002,26.222638888888888,26.0,45.8,12.0,83.1,6.3,82.1,7060.0
2002-07-01,2002,26.05510752688172,25.5,69.5,11.0,233.7,6.8,82.7,7048.0
2002-08-01,2002,25.624193548387098,25.6,17.8,14.0,54.2,6.7,79.2,7060.0
2002-09-01,2002,25.545555555555556,25.1,38.9,9.0,124.2,5.5,81.7,7035.0
2002-10-01,2002,25.838306451612905,25.7,3.2,7.0,10.8,6.2,79.8,7088.0
2002-11-01,2002,25.49833333333333,24.5,84.0,15.0,307.2,4.6,85.8,7129.0
2002-12-01,2002,25.680779569892472,24.7,38.6,24.0,255.0,4.8,88.7,7151.0
2003-01-01,2003,24.92970430107527,24.4,194.4,20.0,444.2,4.7,86.9,7177.0
2003-02-01,2003,25.087648809523813,24.4,82.2,13.0,172.9,5.8,85.0,7119.0
2003-03-01,2003,25.84704301075269,25.2,38.3,11.0,154.6,6.9,83.8,7070.0
2003-04-01,2003,26.094305555555557,25.3,42.9,20.0,159.9,5.1,86.7,7018.0
2003-05-01,2003,26.612903225806452,26.5,33.0,11.0,81.8,5.8,81.7,7063.0
2003-06-01,2003,25.94916666666667,26.0,23.2,12.0,50.3,7.0,78.5,7012.0
2003-07-01,2003,25.634543010752687,25.1,30.9,14.0,170.4,5.6,81.7,6987.0
2003-08-01,2003,25.924865591397847,25.5,64.4,13.0,193.6,6.1,83.1,7051.0
2003-09-01,2003,25.566666666666666,24.8,60.0,15.0,205.3,5.0,84.8,7064.0
2003-10-01,2003,25.548521505376343,24.5,56.6,21.0,351.4,5.1,84.9,7178.0
2003-11-01,2003,25.443055555555556,24.7,41.3,19.0,133.8,4.2,87.3,7197.0
2003-12-01,2003,24.87150537634409,24.3,92.1,17.0,273.0,3.9,87.2,7243.0
2004-01-01,2004,25.08225806451613,24.2,177.8,13.0,600.9,6.7,86.7,7101.0
2004-02-01,2004,24.958189655172415,24.7,19.2,4.0,31.9,7.7,80.5,7049.0
2004-03-01,2004,25.739919354838708,24.7,122.8,16.0,269.4,4.8,85.8,7036.0
2004-04-01,2004,26.369027777777777,26.1,18.1,9.0,57.1,7.0,82.3,7032.0
2004-05-01,2004,26.447580645161292,26.4,73.4,13.0,137.6,6.0,82.1,7095.0
2004-06-01,2004,26.183611111111112,26.1,68.1,8.0,127.2,6.3,79.8,7070.0
2004-07-01,2004,25.38817204301075,24.5,34.3,20.0,166.6,4.2,85.3,7049.0
2004-08-01,2004,25.537365591397847,25.4,111.5,8.0,185.2,7.3,80.3,7004.0
2004-09-01,2004,25.570277777777775,25.0,29.1,14.0,128.9,5.9,83.6,7068.0
2004-10-01,2004,25.57338709677419,25.0,25.3,13.0,125.6,5.0,83.9,7135.0
2004-11-01,2004,25.41375,24.6,62.4,15.0,166.2,5.8,86.1,7153.0
2004-12-01,2004,24.87244623655914,24.5,36.4,14.0,139.8,4.9,85.2,7162.0
2005-01-01,2005,24.395967741935483,23.9,96.7,8.0,163.2,6.5,83.3,7119.0
2005-02-01,2005,25.330357142857142,25.3,7.2,3.0,8.4,9.1,77.7,7026.0
2005-03-01,2005,25.70577956989247,25.4,20.5,12.0,82.4,7.2,80.3,7019.0
2005-04-01,2005,26.036805555555556,25.7,49.6,10.0,81.7,7.0,81.0,7016.0
2005-05-01,2005,26.366532258064517,25.2,58.7,20.0,331.1,5.5,84.6,7031.0
2005-06-01,2005,26.405694444444443,26.1,27.6,15.0,82.3,5.4,82.7,7047.0
2005-07-01,2005,25.849865591397847,25.2,26.3,15.0,104.0,5.4,84.0,7034.0
2005-08-01,2005,25.900134408602153,25.5,13.8,13.0,58.5,6.5,82.9,7008.0
2005-09-01,2005,25.996111111111112,25.2,43.4,18.0,175.7,6.2,84.2,7096.0
2005-10-01,2005,25.58185483870968,24.7,76.2,19.0,314.5,5.1,85.2,7131.0
2005-11-01,2005,25.43236111111111,24.4,133.8,23.0,362.9,4.4,86.4,7194.0
2005-12-01,2005,25.326478494623657,24.6,47.3,19.0,166.0,4.5,85.6,7240.0
2006-01-01,2006,24.865591397849464,24.1,131.7,20.0,454.4,4.8,87.8,7185.0
2006-02-01,2006,25.37842261904762,24.8,44.5,8.0,115.5,7.4,84.0,7109.0
2006-03-01,2006,25.692204301075268,25.2,35.7,9.0,83.1,7.1,81.3,7069.0
2006-04-01,2006,25.854444444444447,24.8,43.3,18.0,239.8,5.3,87.0,7055.0
2006-05-01,2006,26.103629032258063,25.4,36.6,14.0,205.7,5.0,85.2,7076.0
2006-06-01,2006,25.99152777777778,25.1,37.3,16.0,236.8,5.5,86.3,7008.0
2006-07-01,2006,26.21155913978495,25.7,54.8,15.0,153.8,6.9,83.8,7017.0
2006-08-01,2006,25.854569892473116,25.5,30.4,14.0,127.3,6.7,81.9,7015.0
2006-09-01,2006,25.40486111111111,25.4,32.2,12.0,83.3,5.3,81.0,7030.0
2006-10-01,2006,25.69327956989247,25.4,37.8,8.0,102.0,4.8,80.9,7084.0
2006-11-01,2006,25.550416666666667,24.5,64.0,18.0,185.6,5.6,87.4,7080.0
2006-12-01,2006,25.12217741935484,24.3,198.0,22.0,765.9,3.2,88.5,7152.0
2007-01-01,2007,24.72083333333333,24.2,143.8,20.0,450.1,4.1,86.8,7153.0
2007-02-01,2007,24.870535714285715,24.5,51.4,3.0,105.5,7.6,82.5,7013.0
2007-03-01,2007,25.42043010752688,24.6,68.8,21.0,269.1,5.8,84.9,7039.0
2007-04-01,2007,26.00986111111111,25.2,102.4,14.0,240.2,5.9,84.7,7068.0
2007-05-01,2007,26.221236559139783,25.3,21.9,16.0,127.2,5.5,84.8,7050.0
